beer_id,username,date,text,look,smell,taste,feel,overall,score
271781,bluejacket74,2017-03-17,"   750 ml bottle, 2016 vintage, bottle #304 of 360. Served in a DFH snifter, the beer pours dark brown/black with about an inch tan head that stuck around a little while. There's also a good amount of lacing. I like the aroma, the brew smells like dark fruit (raisin, plum), chocolate, roasted malt, and a bit of licorice. For the most part I think the taste is just like the aroma, but with some coffee flavor noticeable too. Mouthfeel/body is medium/full, it's creamy and coating with a moderate amount of carbonation. I think it's a good overall brew, worth picking up if you want a nice straight forward imperial stout. Here's hoping Four String brings this back in the future! $9.99 a bottle.  ",4.0,4.0,4.0,4.25,4.0,4.03
125646,_dirty_,2017-12-21,  ,4.5,4.5,4.5,4.5,4.5,4.5
125646,CJDUBYA,2017-12-21,  ,4.75,4.75,4.75,4.75,4.75,4.75
125646,GratefulBeerGuy,2017-12-20,"   0% 16 oz can. Funny story: As I finally walked in the doors after a 45 min wait in line and freezing temps the sweet sound of the Grateful Dead's Sugar Magnolia greeted me from the TreeHouse sound system. The bottom of the can reads: ""Going where the wind goes, bloomin' like a red rose"" A white haze to the yellow and golden liquid. Thick and healthy, totally unfiltered. Brawny white foam cap, thick, all-white clumps. Huge lacing left over. The aroma has a very zesty citrus hop effect, mellon and mango, grainy earthiness, tropical fruit blend with a bitter to sweet effect, then a peppery kick at the end. Very aromatic. The flavor is just bursting with complex hops, zesty earthy tones, sweet orange, peppery malt, clean fresh feel and overall vibe. A crispy bite wakes you up, full and lush mouthfeel follows from a totally unfiltered expereince. The feel and flavor finishes with a fun, earthy, zesty dry bite. Tropical juicy, zesty citrus, zippy golden wheat malt, melons, rustic earthiness sums up the taste pretty well. Levels of complexity are deep. It's an interesting ride for sure. Overall, this one stands somewhere near the top of the New England IPA's.  ",4.75,4.75,4.5,4.5,4.5,4.58
125646,LukeGude,2017-12-20,   Classic TH NEIPA. Overflowing head and bouquet. Strong flavor but smoother than 8.2%. Maybe peach nose but overall a general citrus punch.,4.25,4.5,4.25,4.25,4.25,4.31
125646,jneff33,2017-12-20,  ,4.5,4.75,5.0,5.0,5.0,4.91
125646,yummybeer,2017-12-19,  ,4.75,4.5,4.75,4.75,4.75,4.69
125646,MFMB,2017-12-16,"   Pours a creamy opaque light straw yellow with a whispy frothy white head. Nose is of citrus skin and light pine. Taste is a thing of beauty! A nice citrus punch in the mouth. Both peeland zest as well as juice of oranges, grapefruit and lemon. Nice malt backbone although minimal presence, you know its there because the hoppyness of this beer is perfectly balanced. Meadium creamy body. Smooth to drink. Finishes with with a Nice pungent citrus bitterness that leaves you craving the next sip to start the process over again. By far my favorite Treehouse brew of the 4 or 5 I’ve had.  ",4.75,4.5,4.5,4.5,4.5,4.52
125646,wwoj,2017-12-16,  ,5.0,4.75,4.5,4.5,4.5,4.59
125646,Rubenjr,2017-12-14,  ,4.75,4.5,4.5,4.75,4.5,4.54
125646,jshusc,2017-12-13,  ,4.5,4.75,4.5,4.5,4.5,4.56
125646,wfreitag,2017-12-11,  ,4.75,4.75,4.75,4.75,4.75,4.75
125646,RollTide7,2017-12-10,  ,4.5,4.5,4.75,4.5,4.75,4.65
